frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_invalid,frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,eth.src,eth.dst,frame.cap_len,frame.coloring_rule.name,frame.coloring_rule.string,frame.comment,frame.comment.expert,frame.encap_type,frame.file_off,frame.ignored,frame.incomplete,frame.interface_id,frame.interface_name,frame.len,frame.link_nr,frame.marked,frame.md5_hash,frame.number,frame.offset_shift,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.flags.reserved,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgid,mqtt.msgtype,mqtt.passwd,mqtt.passwd_len,mqtt.proto_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.topic,mqtt.topic_len,mqtt.username,mqtt.username_len,mqtt.ver,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len
"0.000000000","0.000000000","1509005637.438580000",,"0.000000000","192.168.1.116","178.62.82.186","2630","1883","98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,,,"66",,"0",,"1","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.031260000","0.031260000","1509005637.469840000",,"0.031260000","178.62.82.186","192.168.1.116","1883","2630","18:a6:f7:eb:77:26","98:5f:d3:d1:2b:00","66",,,,,"1",,"0",,,,"66",,"0",,"2","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.001116000","0.001116000","1509005637.470956000",,"0.032376000","192.168.1.116","178.62.82.186","2630","1883","98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","54",,,,,"1",,"0",,,,"54",,"0",,"3","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.003676000","0.003676000","1509005637.474632000",,"0.036052000","192.168.1.116","178.62.82.186","2630","1883","98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","83",,,,,"1",,"0",,,,"83",,"0",,"4","0.000000000","mqttjs_0d5c037e","15",,,,,"1","0","0","0","0","0","0","0x00000002","0","0x00000010","60","27",,,"1",,,"4","MQTT","0","0",,,,,,,"4",,,,
"0.031895000","0.031895000","1509005637.506527000",,"0.067947000","178.62.82.186","192.168.1.116","1883","2630","18:a6:f7:eb:77:26","98:5f:d3:d1:2b:00","54",,,,,"1",,"0",,,,"54",,"0",,"5","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.018536000","0.018536000","1509005637.525063000",,"0.086483000","178.62.82.186","192.168.1.116","1883","2630","18:a6:f7:eb:77:26","98:5f:d3:d1:2b:00","58",,,,,"1",,"0",,,,"58",,"0",,"6","0.000000000",,,"0x00000000","0","0","0",,,,,,,,,"0","0x00000020",,"2",,,"2",,,,,"0","0",,,,,,,,,,,
"0.014437000","0.014437000","1509005637.539500000",,"0.100920000","192.168.1.116","178.62.82.186","2630","1883","98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","66",,,,,"1",,"0",,,,"66",,"0",,"7","0.000000000",,,,,,,,,,,,,,,"0,0","0x00000030,0x000000e0",,"8,0","2",,"3,14",,,,,"0,0","0,0",,,"motor","5",,,,,,,
"0.002891000","0.002891000","1509005637.542391000",,"0.103811000","192.168.1.116","178.62.82.186","2630","1883","98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","54",,,,,"1",,"0",,,,"54",,"0",,"8","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.031193000","0.031193000","1509005637.573584000",,"0.135004000","178.62.82.186","192.168.1.116","1883","2630","18:a6:f7:eb:77:26","98:5f:d3:d1:2b:00","54",,,,,"1",,"0",,,,"54",,"0",,"9","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0.000853000","0.000853000","1509005637.574437000",,"0.135857000","192.168.1.116","178.62.82.186","2630","1883","98:5f:d3:d1:2b:00","18:a6:f7:eb:77:26","54",,,,,"1",,"0",,,,"54",,"0",,"10","0.000000000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
